<Unicode>,<Unicode Name>,<Glyph Name>,<Adobe Character Sets>,<Unicode block>,<Non-Unicode type>,"<Status> # A=Already in, T=To be added, C=Under consideration, D=To be deleted","<Source> # R=Regular, B=Bold, I=Italic, X=Bold Italic, N=New, S=Special",<Fira Glyph>
U+015A,LATIN CAPITAL LETTER S WITH ACUTE,uni015A,AL3,Latin Extended-A,,A,R,
U+015B,LATIN SMALL LETTER S WITH ACUTE,uni015B,AL3,Latin Extended-A,,A,R,
U+015E,LATIN CAPITAL LETTER S WITH CEDILLA,uni015E,AL3,Latin Extended-A,,A,R,
U+015F,LATIN SMALL LETTER S WITH CEDILLA,uni015F,AL3,Latin Extended-A,,A,R,
U+0160,LATIN CAPITAL LETTER S WITH CARON,uni0160,AL3,Latin Extended-A,,A,R,
U+0161,LATIN SMALL LETTER S WITH CARON,uni0161,AL3,Latin Extended-A,,A,R,
U+0162,LATIN CAPITAL LETTER T WITH CEDILLA,uni0162,AL3,Latin Extended-A,,A,R,
U+0163,LATIN SMALL LETTER T WITH CEDILLA,uni0163,AL3,Latin Extended-A,,A,R,
U+0164,LATIN CAPITAL LETTER T WITH CARON,uni0164,AL3,Latin Extended-A,,A,R,
U+0165,LATIN SMALL LETTER T WITH CARON,uni0165,AL3,Latin Extended-A,,A,R,
U+016A,LATIN CAPITAL LETTER U WITH MACRON,uni016A,AL3,Latin Extended-A,,A,R,
U+016B,LATIN SMALL LETTER U WITH MACRON,uni016B,AL3,Latin Extended-A,,A,R,
U+016E,LATIN CAPITAL LETTER U WITH RING ABOVE,uni016E,AL3,Latin Extended-A,,A,R,
U+016F,LATIN SMALL LETTER U WITH RING ABOVE,uni016F,AL3,Latin Extended-A,,A,R,
U+0170,LATIN CAPITAL LETTER U WITH DOUBLE ACUTE,uni0170,AL3,Latin Extended-A,,A,R,
U+0171,LATIN SMALL LETTER U WITH DOUBLE ACUTE,uni0171,AL3,Latin Extended-A,,A,R,
U+0172,LATIN CAPITAL LETTER U WITH OGONEK,uni0172,AL3,Latin Extended-A,,A,R,
U+0173,LATIN SMALL LETTER U WITH OGONEK,uni0173,AL3,Latin Extended-A,,A,R,
U+0178,LATIN CAPITAL LETTER Y WITH DIAERESIS,uni0178,AL3,Latin Extended-A,,A,R,
U+0179,LATIN CAPITAL LETTER Z WITH ACUTE,uni0179,AL3,Latin Extended-A,,A,R,
U+017A,LATIN SMALL LETTER Z WITH ACUTE,uni017A,AL3,Latin Extended-A,,A,R,
U+017B,LATIN CAPITAL LETTER Z WITH DOT ABOVE,uni017B,AL3,Latin Extended-A,,A,R,
U+017C,LATIN SMALL LETTER Z WITH DOT ABOVE,uni017C,AL3,Latin Extended-A,,A,R,
U+017D,LATIN CAPITAL LETTER Z WITH CARON,uni017D,AL3,Latin Extended-A,,A,R,
U+017E,LATIN SMALL LETTER Z WITH CARON,uni017E,AL3,Latin Extended-A,,A,R,
U+0192,LATIN SMALL LETTER F WITH HOOK,uni0192,AL3,Latin Extended-B,,A,R,
U+0218,LATIN CAPITAL LETTER S WITH COMMA BELOW,uni0218,AL3,Latin Extended-B,,A,R,
U+0219,LATIN SMALL LETTER S WITH COMMA BELOW,uni0219,AL3,Latin Extended-B,,A,R,
U+021A,LATIN CAPITAL LETTER T WITH COMMA BELOW,uni021A,AL3,Latin Extended-B,,A,R,
U+021B,LATIN SMALL LETTER T WITH COMMA BELOW,uni021B,AL3,Latin Extended-B,,A,R,
U+0237,LATIN SMALL LETTER DOTLESS J,uni0237,,Latin Extended-B,,A,R,
U+02C6,MODIFIER LETTER CIRCUMFLEX ACCENT,uni02C6,AL3,Spacing Modifier Letters,,C,,
U+02C7,CARON,uni02C7,AL3,Spacing Modifier Letters,,C,,
U+02C9,MODIFIER LETTER MACRON,uni02C9,AL3,Spacing Modifier Letters,,C,,
U+02D8,BREVE,uni02D8,AL3,Spacing Modifier Letters,,C,,
U+02D9,DOT ABOVE,uni02D9,AL3,Spacing Modifier Letters,,C,,
U+02DA,RING ABOVE,uni02DA,AL3,Spacing Modifier Letters,,C,,
U+02DB,OGONEK,uni02DB,AL3,Spacing Modifier Letters,,C,,
U+02DC,SMALL TILDE,uni02DC,AL3,Spacing Modifier Letters,,C,,
U+02DD,DOUBLE ACUTE ACCENT,uni02DD,AL3,Spacing Modifier Letters,,C,,
U+0300,COMBINING GRAVE ACCENT,uni0300,,Combining Diacritical Marks ,,A,R,
U+0301,COMBINING ACUTE ACCENT,uni0301,,Combining Diacritical Marks ,,A,R,
U+0302,COMBINING CIRCUMFLEX ACCENT,uni0302,,Combining Diacritical Marks ,,A,R,
U+0303,COMBINING TILDE,uni0303,,Combining Diacritical Marks ,,A,R,
U+0304,COMBINING MACRON,uni0304,,Combining Diacritical Marks ,,A,R,
U+0305,COMBINING OVERLINE,uni0305,,Combining Diacritical Marks ,,A,R,
U+0306,COMBINING BREVE,uni0306,,Combining Diacritical Marks ,,A,R,
U+0307,COMBINING DOT ABOVE,uni0307,,Combining Diacritical Marks ,,A,R,
U+0308,COMBINING DIAERESIS,uni0308,,Combining Diacritical Marks ,,A,R,
U+0309,COMBINING HOOK ABOVE,uni0309,,Combining Diacritical Marks ,,A,R,
U+030A,COMBINING RING ABOVE,uni030A,,Combining Diacritical Marks ,,A,R,
U+030B,COMBINING DOUBLE ACUTE ACCENT,uni030B,,Combining Diacritical Marks ,,A,R,
U+030C,COMBINING CARON,uni030C,,Combining Diacritical Marks ,,A,R,
U+030D,COMBINING VERTICAL LINE ABOVE,uni030D,,Combining Diacritical Marks ,,A,R,
U+030E,COMBINING DOUBLE VERTICAL LINE ABOVE,uni030E,,Combining Diacritical Marks ,,C,,
U+030F,COMBINING DOUBLE GRAVE ACCENT,uni030F,,Combining Diacritical Marks ,,A,R,
U+0310,COMBINING CANDRABINDU,uni0310,,Combining Diacritical Marks ,,C,,
U+0311,COMBINING INVERTED BREVE,uni0311,,Combining Diacritical Marks ,,A,R,
U+0312,COMBINING TURNED COMMA ABOVE,uni0312,,Combining Diacritical Marks ,,A,R,
U+0313,COMBINING COMMA ABOVE,uni0313,,Combining Diacritical Marks ,,A,R,
U+0314,COMBINING REVERSED COMMA ABOVE,uni0314,,Combining Diacritical Marks ,,C,,
U+0315,COMBINING COMMA ABOVE RIGHT,uni0315,,Combining Diacritical Marks ,,C,,
U+0316,COMBINING GRAVE ACCENT BELOW,uni0316,,Combining Diacritical Marks ,,A,R,
U+0317,COMBINING ACUTE ACCENT BELOW,uni0317,,Combining Diacritical Marks ,,A,R,
U+0318,COMBINING LEFT TACK BELOW,uni0318,,Combining Diacritical Marks ,,A,R,
U+0319,COMBINING RIGHT TACK BELOW,uni0319,,Combining Diacritical Marks ,,A,R,
U+031A,COMBINING LEFT ANGLE ABOVE,uni031A,,Combining Diacritical Marks ,,A,R,
U+031B,COMBINING HORN,uni031B,,Combining Diacritical Marks ,,A,R,
U+031C,COMBINING LEFT HALF RING BELOW,uni031C,,Combining Diacritical Marks ,,A,R,
U+031D,COMBINING UP TACK BELOW,uni031D,,Combining Diacritical Marks ,,A,R,
U+031E,COMBINING DOWN TACK BELOW,uni031E,,Combining Diacritical Marks ,,A,R,
U+031F,COMBINING PLUS SIGN BELOW,uni031F,,Combining Diacritical Marks ,,A,R,
U+0320,COMBINING MINUS SIGN BELOW,uni0320,,Combining Diacritical Marks ,,A,R,
U+0321,COMBINING PALATALIZED HOOK BELOW,uni0321,,Combining Diacritical Marks ,,A,R,
U+0322,COMBINING RETROFLEX HOOK BELOW,uni0322,,Combining Diacritical Marks ,,C,,
U+0323,COMBINING DOT BELOW,uni0323,,Combining Diacritical Marks ,,A,R,
U+0324,COMBINING DIAERESIS BELOW,uni0324,,Combining Diacritical Marks ,,A,R,
U+0325,COMBINING RING BELOW,uni0325,,Combining Diacritical Marks ,,A,R,
U+0326,COMBINING COMMA BELOW,uni0326,,Combining Diacritical Marks ,,A,R,
U+0327,COMBINING CEDILLA,uni0327,,Combining Diacritical Marks ,,A,R,
U+0328,COMBINING OGONEK,uni0328,,Combining Diacritical Marks ,,A,R,
U+0329,COMBINING VERTICAL LINE BELOW,uni0329,,Combining Diacritical Marks ,,A,R,
U+032A,COMBINING BRIDGE BELOW,uni032A,,Combining Diacritical Marks ,,A,R,
U+032B,COMBINING INVERTED DOUBLE ARCH BELOW,uni032B,,Combining Diacritical Marks ,,A,R,
U+032C,COMBINING CARON BELOW,uni032C,,Combining Diacritical Marks ,,A,R,
U+032D,COMBINING CIRCUMFLEX ACCENT BELOW,uni032D,,Combining Diacritical Marks ,,A,R,
U+032E,COMBINING BREVE BELOW,uni032E,,Combining Diacritical Marks ,,C,,
U+032F,COMBINING INVERTED BREVE BELOW,uni032F,,Combining Diacritical Marks ,,A,R,
U+0330,COMBINING TILDE BELOW,uni0330,,Combining Diacritical Marks ,,A,R,
U+0331,COMBINING MACRON BELOW,uni0331,,Combining Diacritical Marks ,,A,R,
U+0332,COMBINING LOW LINE,uni0332,,Combining Diacritical Marks ,,A,R,
U+0333,COMBINING DOUBLE LOW LINE,uni0333,,Combining Diacritical Marks ,,C,,
U+0334,COMBINING TILDE OVERLAY,uni0334,,Combining Diacritical Marks ,,A,R,
U+0335,COMBINING SHORT STROKE OVERLAY,uni0335,,Combining Diacritical Marks ,,A,R,
U+0336,COMBINING LONG STROKE OVERLAY,uni0336,,Combining Diacritical Marks ,,A,R,
U+0337,COMBINING SHORT SOLIDUS OVERLAY,uni0337,,Combining Diacritical Marks ,,A,,
U+0338,COMBINING LONG SOLIDUS OVERLAY,uni0338,,Combining Diacritical Marks ,,A,,
U+0339,COMBINING RIGHT HALF RING BELOW,uni0339,,Combining Diacritical Marks ,,A,R,
U+033A,COMBINING INVERTED BRIDGE BELOW,uni033A,,Combining Diacritical Marks ,,A,R,
U+033B,COMBINING SQUARE BELOW,uni033B,,Combining Diacritical Marks ,,A,R,
U+033C,COMBINING SEAGULL BELOW,uni033C,,Combining Diacritical Marks ,,A,R,
U+033D,COMBINING X ABOVE,uni033D,,Combining Diacritical Marks ,,A,R,
U+033E,COMBINING VERTICAL TILDE,uni033E,,Combining Diacritical Marks ,,C,,
U+033F,COMBINING DOUBLE OVERLINE,uni033F,,Combining Diacritical Marks ,,C,,
U+0340,COMBINING GRAVE TONE MARK,uni0340,,Combining Diacritical Marks ,,C,,
U+0341,COMBINING ACUTE TONE MARK,uni0341,,Combining Diacritical Marks ,,C,,
U+0342,COMBINING GREEK PERISPOMENI,uni0342,,Combining Diacritical Marks ,,A,R,
U+0343,COMBINING GREEK KORONIS,uni0343,,Combining Diacritical Marks ,,C,,
U+0344,COMBINING GREEK DIALYTIKA TONOS,uni0344,,Combining Diacritical Marks ,,C,,
U+0345,COMBINING GREEK YPOGEGRAMMENI,uni0345,,Combining Diacritical Marks ,,A,R,
U+0346,COMBINING BRIDGE ABOVE,uni0346,,Combining Diacritical Marks ,,C,,
U+0347,COMBINING EQUALS SIGN BELOW,uni0347,,Combining Diacritical Marks ,,C,,
U+0348,COMBINING DOUBLE VERTICAL LINE BELOW,uni0348,,Combining Diacritical Marks ,,C,,
U+0349,COMBINING LEFT ANGLE BELOW,uni0349,,Combining Diacritical Marks ,,C,,
U+034A,COMBINING NOT TILDE ABOVE,uni034A,,Combining Diacritical Marks ,,C,,
U+034B,COMBINING HOMOTHETIC ABOVE,uni034B,,Combining Diacritical Marks ,,C,,
U+034C,COMBINING ALMOST EQUAL TO ABOVE,uni034C,,Combining Diacritical Marks ,,C,,
U+034D,COMBINING LEFT RIGHT ARROW BELOW,uni034D,,Combining Diacritical Marks ,,C,,
U+034E,COMBINING UPWARDS ARROW BELOW,uni034E,,Combining Diacritical Marks ,,C,,
U+034F,COMBINING GRAPHEME JOINER,uni034F,,Combining Diacritical Marks ,,C,,
U+0350,COMBINING RIGHT ARROWHEAD ABOVE,uni0350,,Combining Diacritical Marks ,,C,,
U+0351,COMBINING LEFT HALF RING ABOVE,uni0351,,Combining Diacritical Marks ,,C,,
U+0352,COMBINING FERMATA,uni0352,,Combining Diacritical Marks ,,C,,
U+0353,COMBINING X BELOW,uni0353,,Combining Diacritical Marks ,,C,,
U+0354,COMBINING LEFT ARROWHEAD BELOW,uni0354,,Combining Diacritical Marks ,,C,,
U+0355,COMBINING RIGHT ARROWHEAD BELOW,uni0355,,Combining Diacritical Marks ,,C,,
U+0356,COMBINING RIGHT ARROWHEAD AND UP ARROWHEAD BELOW,uni0356,,Combining Diacritical Marks ,,C,,
U+0357,COMBINING RIGHT HALF RING ABOVE,uni0357,,Combining Diacritical Marks ,,C,,
U+0358,COMBINING DOT ABOVE RIGHT,uni0358,,Combining Diacritical Marks ,,C,,
U+0359,COMBINING ASTERISK BELOW,uni0359,,Combining Diacritical Marks ,,C,,
U+035A,COMBINING DOUBLE RING BELOW,uni035A,,Combining Diacritical Marks ,,C,,
U+035B,COMBINING ZIGZAG ABOVE,uni035B,,Combining Diacritical Marks ,,C,,
U+035C,COMBINING DOUBLE BREVE BELOW,uni035C,,Combining Diacritical Marks ,,A,R,
U+035D,COMBINING DOUBLE BREVE,uni035D,,Combining Diacritical Marks ,,C,,
U+035E,COMBINING DOUBLE MACRON,uni035E,,Combining Diacritical Marks ,,C,,
U+035F,COMBINING DOUBLE MACRON BELOW,uni035F,,Combining Diacritical Marks ,,C,,
U+0360,COMBINING DOUBLE TILDE,uni0360,,Combining Diacritical Marks ,,C,,
U+0361,COMBINING DOUBLE INVERTED BREVE,uni0361,,Combining Diacritical Marks ,,A,R,
U+0362,COMBINING DOUBLE RIGHTWARDS ARROW BELOW,uni0362,,Combining Diacritical Marks ,,C,,
U+0363,COMBINING LATIN SMALL LETTER A,uni0363,,Combining Diacritical Marks ,,C,,
U+0364,COMBINING LATIN SMALL LETTER E,uni0364,,Combining Diacritical Marks ,,C,,
U+0365,COMBINING LATIN SMALL LETTER I,uni0365,,Combining Diacritical Marks ,,C,,
U+0366,COMBINING LATIN SMALL LETTER O,uni0366,,Combining Diacritical Marks ,,C,,
U+0367,COMBINING LATIN SMALL LETTER U,uni0367,,Combining Diacritical Marks ,,C,,
U+0368,COMBINING LATIN SMALL LETTER C,uni0368,,Combining Diacritical Marks ,,C,,
U+0369,COMBINING LATIN SMALL LETTER D,uni0369,,Combining Diacritical Marks ,,C,,
U+036A,COMBINING LATIN SMALL LETTER H,uni036A,,Combining Diacritical Marks ,,C,,
U+036B,COMBINING LATIN SMALL LETTER M,uni036B,,Combining Diacritical Marks ,,C,,
U+036C,COMBINING LATIN SMALL LETTER R,uni036C,,Combining Diacritical Marks ,,C,,
U+036D,COMBINING LATIN SMALL LETTER T,uni036D,,Combining Diacritical Marks ,,C,,
U+036E,COMBINING LATIN SMALL LETTER V,uni036E,,Combining Diacritical Marks ,,C,,
U+036F,COMBINING LATIN SMALL LETTER X,uni036F,,Combining Diacritical Marks ,,C,,
U+037E,GREEK QUESTION MARK,uni037E,AG1,Greek and Coptic,,A,R,
U+0384,GREEK TONOS,uni0384,AG1,Greek and Coptic,,A,R,
U+0385,GREEK DIALYTIKA TONOS,uni0385,AG1,Greek and Coptic,,A,R,
U+0386,GREEK CAPITAL LETTER ALPHA WITH TONOS,uni0386,AG1,Greek and Coptic,,A,R,
U+0387,GREEK ANO TELEIA,uni0387,AG1,Greek and Coptic,,A,R,
U+0388,GREEK CAPITAL LETTER EPSILON WITH TONOS,uni0388,AG1,Greek and Coptic,,A,R,
U+0389,GREEK CAPITAL LETTER ETA WITH TONOS,uni0389,AG1,Greek and Coptic,,A,R,
U+038A,GREEK CAPITAL LETTER IOTA WITH TONOS,uni038A,AG1,Greek and Coptic,,A,R,
U+038C,GREEK CAPITAL LETTER OMICRON WITH TONOS,uni038C,AG1,Greek and Coptic,,A,R,
U+038E,GREEK CAPITAL LETTER UPSILON WITH TONOS,uni038E,AG1,Greek and Coptic,,A,R,
U+038F,GREEK CAPITAL LETTER OMEGA WITH TONOS,uni038F,AG1,Greek and Coptic,,A,R,
U+0390,GREEK SMALL LETTER IOTA WITH DIALYTIKA AND TONOS,uni0390,AG1,Greek and Coptic,,A,R,
U+0391,GREEK CAPITAL LETTER ALPHA,uni0391,AG1,Greek and Coptic,,A,R,
U+0392,GREEK CAPITAL LETTER BETA,uni0392,AG1,Greek and Coptic,,A,R,
U+0393,GREEK CAPITAL LETTER GAMMA,uni0393,AG1,Greek and Coptic,,A,R,
U+0394,GREEK CAPITAL LETTER DELTA,uni0394,AG1,Greek and Coptic,,A,R,
U+0395,GREEK CAPITAL LETTER EPSILON,uni0395,AG1,Greek and Coptic,,A,R,
U+0396,GREEK CAPITAL LETTER ZETA,uni0396,AG1,Greek and Coptic,,A,R,
U+0397,GREEK CAPITAL LETTER ETA,uni0397,AG1,Greek and Coptic,,A,R,
U+0398,GREEK CAPITAL LETTER THETA,uni0398,AG1,Greek and Coptic,,A,R,
U+0399,GREEK CAPITAL LETTER IOTA,uni0399,AG1,Greek and Coptic,,A,R,
U+039A,GREEK CAPITAL LETTER KAPPA,uni039A,AG1,Greek and Coptic,,A,R,
U+039B,GREEK CAPITAL LETTER LAMDA,uni039B,AG1,Greek and Coptic,,A,R,
U+039C,GREEK CAPITAL LETTER MU,uni039C,AG1,Greek and Coptic,,A,R,
U+039D,GREEK CAPITAL LETTER NU,uni039D,AG1,Greek and Coptic,,A,R,
U+039E,GREEK CAPITAL LETTER XI,uni039E,AG1,Greek and Coptic,,A,R,
U+039F,GREEK CAPITAL LETTER OMICRON,uni039F,AG1,Greek and Coptic,,A,R,
U+03A0,GREEK CAPITAL LETTER PI,uni03A0,AG1,Greek and Coptic,,A,R,
U+03A1,GREEK CAPITAL LETTER RHO,uni03A1,AG1,Greek and Coptic,,A,R,
U+03A3,GREEK CAPITAL LETTER SIGMA,uni03A3,AG1,Greek and Coptic,,A,R,
U+03A4,GREEK CAPITAL LETTER TAU,uni03A4,AG1,Greek and Coptic,,A,R,
U+03A5,GREEK CAPITAL LETTER UPSILON,uni03A5,AG1,Greek and Coptic,,A,R,
U+03A6,GREEK CAPITAL LETTER PHI,uni03A6,AG1,Greek and Coptic,,A,R,
U+03A7,GREEK CAPITAL LETTER CHI,uni03A7,AG1,Greek and Coptic,,A,R,
U+03A8,GREEK CAPITAL LETTER PSI,uni03A8,AG1,Greek and Coptic,,A,R,
U+03A9,GREEK CAPITAL LETTER OMEGA,uni03A9,AG1,Greek and Coptic,,A,R,
U+03AA,GREEK CAPITAL LETTER IOTA WITH DIALYTIKA,uni03AA,AG1,Greek and Coptic,,A,R,
U+03AB,GREEK CAPITAL LETTER UPSILON WITH DIALYTIKA,uni03AB,AG1,Greek and Coptic,,A,R,
U+03AC,GREEK SMALL LETTER ALPHA WITH TONOS,uni03AC,AG1,Greek and Coptic,,A,R,
U+03AD,GREEK SMALL LETTER EPSILON WITH TONOS,uni03AD,AG1,Greek and Coptic,,A,R,
U+03AE,GREEK SMALL LETTER ETA WITH TONOS,uni03AE,AG1,Greek and Coptic,,A,R,
U+03AF,GREEK SMALL LETTER IOTA WITH TONOS,uni03AF,AG1,Greek and Coptic,,A,R,
U+03B0,GREEK SMALL LETTER UPSILON WITH DIALYTIKA AND TONOS,uni03B0,AG1,Greek and Coptic,,A,R,
U+03B1,GREEK SMALL LETTER ALPHA,uni03B1,AG1,Greek and Coptic,,A,R,
U+03B2,GREEK SMALL LETTER BETA,uni03B2,AG1,Greek and Coptic,,A,R,
U+03B3,GREEK SMALL LETTER GAMMA,uni03B3,AG1,Greek and Coptic,,A,R,
U+03B4,GREEK SMALL LETTER DELTA,uni03B4,AG1,Greek and Coptic,,A,R,
U+03B5,GREEK SMALL LETTER EPSILON,uni03B5,AG1,Greek and Coptic,,A,R,
U+03B6,GREEK SMALL LETTER ZETA,uni03B6,AG1,Greek and Coptic,,A,R,
U+03B7,GREEK SMALL LETTER ETA,uni03B7,AG1,Greek and Coptic,,A,R,
U+03B8,GREEK SMALL LETTER THETA,uni03B8,AG1,Greek and Coptic,,A,R,
U+03B9,GREEK SMALL LETTER IOTA,uni03B9,AG1,Greek and Coptic,,A,R,
U+03BA,GREEK SMALL LETTER KAPPA,uni03BA,AG1,Greek and Coptic,,A,R,
U+03BB,GREEK SMALL LETTER LAMDA,uni03BB,AG1,Greek and Coptic,,A,R,
U+03BC,GREEK SMALL LETTER MU,uni03BC,AG1,Greek and Coptic,,A,R,
U+03BD,GREEK SMALL LETTER NU,uni03BD,AG1,Greek and Coptic,,A,R,
U+03BE,GREEK SMALL LETTER XI,uni03BE,AG1,Greek and Coptic,,A,R,
U+03BF,GREEK SMALL LETTER OMICRON,uni03BF,AG1,Greek and Coptic,,A,R,
U+03C0,GREEK SMALL LETTER PI,uni03C0,AL3/AG1,Greek and Coptic,,A,R,
U+03C1,GREEK SMALL LETTER RHO,uni03C1,AG1,Greek and Coptic,,A,R,
U+03C2,GREEK SMALL LETTER FINAL SIGMA,uni03C2,AG1,Greek and Coptic,,A,R,
U+03C3,GREEK SMALL LETTER SIGMA,uni03C3,AG1,Greek and Coptic,,A,R,
U+03C4,GREEK SMALL LETTER TAU,uni03C4,AG1,Greek and Coptic,,A,R,
U+03C5,GREEK SMALL LETTER UPSILON,uni03C5,AG1,Greek and Coptic,,A,R,
U+03C6,GREEK SMALL LETTER PHI,uni03C6,AG1,Greek and Coptic,,A,R,
U+03C7,GREEK SMALL LETTER CHI,uni03C7,AG1,Greek and Coptic,,A,R,
U+03C8,GREEK SMALL LETTER PSI,uni03C8,AG1,Greek and Coptic,,A,R,
U+03C9,GREEK SMALL LETTER OMEGA,uni03C9,AG1,Greek and Coptic,,A,R,
U+03CA,GREEK SMALL LETTER IOTA WITH DIALYTIKA,uni03CA,AG1,Greek and Coptic,,A,R,
U+03CB,GREEK SMALL LETTER UPSILON WITH DIALYTIKA,uni03CB,AG1,Greek and Coptic,,A,R,
U+03CC,GREEK SMALL LETTER OMICRON WITH TONOS,uni03CC,AG1,Greek and Coptic,,A,R,
U+03CD,GREEK SMALL LETTER UPSILON WITH TONOS,uni03CD,AG1,Greek and Coptic,,A,R,
U+03CE,GREEK SMALL LETTER OMEGA WITH TONOS,uni03CE,AG1,Greek and Coptic,,A,R,
U+03D0,GREEK BETA SYMBOL,uni03D0,,Greek and Coptic,,A,R,
U+03D1,GREEK THETA SYMBOL,uni03D1,,Greek and Coptic,,A,R,
U+03D2,GREEK UPSILON WITH HOOK SYMBOL,uni03D2,,Greek and Coptic,,A,R,
U+03D5,GREEK PHI SYMBOL,uni03D5,,Greek and Coptic,,A,R,
U+03D6,GREEK PI SYMBOL,uni03D6,,Greek and Coptic,,A,R,
U+03D7,GREEK KAI SYMBOL,uni03D7,,Greek and Coptic,,A,R,
U+03F0,GREEK KAPPA SYMBOL,uni03F0,,Greek and Coptic,,A,R,
U+03F1,GREEK RHO SYMBOL,uni03F1,,Greek and Coptic,,A,R,
U+03F2,GREEK LUNATE SIGMA SYMBOL,uni03F2,,Greek and Coptic,,A,R,
U+03F4,GREEK CAPITAL THETA SYMBOL,uni03F4,,Greek and Coptic,,A,R,
U+03F5,GREEK LUNATE EPSILON SYMBOL,uni03F5,,Greek and Coptic,,A,R,
U+03F6,GREEK REVERSED LUNATE EPSILON SYMBOL,uni03F6,,Greek and Coptic,,A,R,
U+0400,CYRILLIC CAPITAL LETTER IE WITH GRAVE,uni0400,AC1,Cyrillic,,A,R,
U+0401,CYRILLIC CAPITAL LETTER IO,uni0401,AC1,Cyrillic,,A,R,
U+0402,CYRILLIC CAPITAL LETTER DJE,uni0402,AC1,Cyrillic,,A,R,
U+0403,CYRILLIC CAPITAL LETTER GJE,uni0403,AC1,Cyrillic,,A,R,
U+0404,CYRILLIC CAPITAL LETTER UKRAINIAN IE,uni0404,AC1,Cyrillic,,A,R,
U+0405,CYRILLIC CAPITAL LETTER DZE,uni0405,AC1,Cyrillic,,A,R,
U+0406,CYRILLIC CAPITAL LETTER BYELORUSSIAN-UKRAINIAN I,uni0406,AC1,Cyrillic,,A,R,
U+0407,CYRILLIC CAPITAL LETTER YI,uni0407,AC1,Cyrillic,,A,R,
U+0408,CYRILLIC CAPITAL LETTER JE,uni0408,AC1,Cyrillic,,A,R,
U+0409,CYRILLIC CAPITAL LETTER LJE,uni0409,AC1,Cyrillic,,A,R,
U+040A,CYRILLIC CAPITAL LETTER NJE,uni040A,AC1,Cyrillic,,A,R,
U+040B,CYRILLIC CAPITAL LETTER TSHE,uni040B,AC1,Cyrillic,,A,R,
U+040C,CYRILLIC CAPITAL LETTER KJE,uni040C,AC1,Cyrillic,,A,R,
U+040D,CYRILLIC CAPITAL LETTER I WITH GRAVE,uni040D,AC1,Cyrillic,,A,R,
U+040E,CYRILLIC CAPITAL LETTER SHORT U,uni040E,AC1,Cyrillic,,A,R,
U+040F,CYRILLIC CAPITAL LETTER DZHE,uni040F,AC1,Cyrillic,,A,R,
U+0410,CYRILLIC CAPITAL LETTER A,uni0410,AC1,Cyrillic,,A,R,
U+0411,CYRILLIC CAPITAL LETTER BE,uni0411,AC1,Cyrillic,,A,R,
U+0412,CYRILLIC CAPITAL LETTER VE,uni0412,AC1,Cyrillic,,A,R,
U+0413,CYRILLIC CAPITAL LETTER GHE,uni0413,AC1,Cyrillic,,A,R,
U+0414,CYRILLIC CAPITAL LETTER DE,uni0414,AC1,Cyrillic,,A,R,
U+0415,CYRILLIC CAPITAL LETTER IE,uni0415,AC1,Cyrillic,,A,R,
U+0416,CYRILLIC CAPITAL LETTER ZHE,uni0416,AC1,Cyrillic,,A,R,
U+0417,CYRILLIC CAPITAL LETTER ZE,uni0417,AC1,Cyrillic,,A,R,
U+0418,CYRILLIC CAPITAL LETTER I,uni0418,AC1,Cyrillic,,A,R,
U+0419,CYRILLIC CAPITAL LETTER SHORT I,uni0419,AC1,Cyrillic,,A,R,
U+041A,CYRILLIC CAPITAL LETTER KA,uni041A,AC1,Cyrillic,,A,R,
U+041B,CYRILLIC CAPITAL LETTER EL,uni041B,AC1,Cyrillic,,A,R,
U+041C,CYRILLIC CAPITAL LETTER EM,uni041C,AC1,Cyrillic,,A,R,
U+041D,CYRILLIC CAPITAL LETTER EN,uni041D,AC1,Cyrillic,,A,R,
U+041E,CYRILLIC CAPITAL LETTER O,uni041E,AC1,Cyrillic,,A,R,
U+041F,CYRILLIC CAPITAL LETTER PE,uni041F,AC1,Cyrillic,,A,R,
U+0420,CYRILLIC CAPITAL LETTER ER,uni0420,AC1,Cyrillic,,A,R,
U+0421,CYRILLIC CAPITAL LETTER ES,uni0421,AC1,Cyrillic,,A,R,
U+0422,CYRILLIC CAPITAL LETTER TE,uni0422,AC1,Cyrillic,,A,R,
U+0423,CYRILLIC CAPITAL LETTER U,uni0423,AC1,Cyrillic,,A,R,
U+0424,CYRILLIC CAPITAL LETTER EF,uni0424,AC1,Cyrillic,,A,R,
U+0425,CYRILLIC CAPITAL LETTER HA,uni0425,AC1,Cyrillic,,A,R,
U+0426,CYRILLIC CAPITAL LETTER TSE,uni0426,AC1,Cyrillic,,A,R,
U+0427,CYRILLIC CAPITAL LETTER CHE,uni0427,AC1,Cyrillic,,A,R,
U+0428,CYRILLIC CAPITAL LETTER SHA,uni0428,AC1,Cyrillic,,A,R,
U+0429,CYRILLIC CAPITAL LETTER SHCHA,uni0429,AC1,Cyrillic,,A,R,
U+042A,CYRILLIC CAPITAL LETTER HARD SIGN,uni042A,AC1,Cyrillic,,A,R,
U+042B,CYRILLIC CAPITAL LETTER YERU,uni042B,AC1,Cyrillic,,A,R,
U+042C,CYRILLIC CAPITAL LETTER SOFT SIGN,uni042C,AC1,Cyrillic,,A,R,
U+042D,CYRILLIC CAPITAL LETTER E,uni042D,AC1,Cyrillic,,A,R,
U+042E,CYRILLIC CAPITAL LETTER YU,uni042E,AC1,Cyrillic,,A,R,
